,p,a
582,Projektu vadītājs/-a darbam ar klientiem Baltijā un Lielbritānijā,1775
583,Informātikas pārvaldes Informācijas un komunikācijas tehnoloģiju arhitekts,2464
584,Finanšu pārskatu speciālists/-e,1800
585,Informātikas pārvaldes Datubāzu administrēšanas nodaļas informācijas sistēmu administrators,2122
586,Kvalitātes speciālists/-e,1400
587,Vecākais kvalitātes speciālists/-e,1600
588,Stratēģikās plānošanas un finanšu nodaļas vecākais referents,1805
589,Iekšējā audita nodaļas vadītāja vietnieks/-ce,2375
590,Pārdošanas asistents/ - e,1800
591,Risk Control Officer for Swedbank P&C Insurance,2800
592,Jaunākais apdrošināšanas speciālists/-e,1200
593,Product Business Analyst (Integration domain),3500
594,Starptautiskās pārdošanas speciālists/-e,1985
595,Land Rights Acquisition Manager (F/M/D) | Ignitis Renewables,3169
596,QA Automation Engineer,4385
597,Vispārējās aprūpes māsa,1315
598,Kvalitātes vadītājs/-a,2450
599,Company representative in Latvia,3553
600,Jaunākais medicīnas iekārtu inženieris/medicīnas fiziķis,1550
601,Noliktavas darbinieks/-ce,1500
602,Concept Manager / Senior Concept Manager,3000
603,Audiovizuālās ražošanas nodaļas vadītājs,2200
604,Datu operatore/-s,1047
605,Klientu Konsultants(-e) Uzņēmumu ienākošās plūsmas nodaļā Valmierā,1450
606,KYC Specialist,1950
607,Finance Manager,3500
608,Finanšu kontrolieris/-e,2500
609,Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas klientu atbalsta nodaļā,1600
610,"IT projektu vadītāj, pievienojies komandai!",3500
611,Business Development Manager,3750
612,Senior QA Automation Engineer/Vecākais QA Automatizācijas Inženieris,5000
613,Būvdarbu vadītājs,2500
614,Automašīnu rezerves daļu pārdevējs/ - a Ford / Mazda autocentrā,2000
615,IT drošības speciālsts/-e,3600
616,Šoferis mēbeļu piegādei un uznešanai,1750
617,SmartTEH pārdošanas projektu vadītājs/-a,2000
618,Finanšu plānošanas un analīzes vadītājs,3500
619,Mārketinga speciālists,1950
620,Grāmatvedis/-e - analītiķis/-e,1900
621,IT sistēmu atbalsta speciālists/-e,1900
622,Atbilstības eksperts,2750
623,Senior Financial Reporting Specialist,2800
624,Noliktavas darbinieks,1460
625,Projektu vadītājs/-a,1900
626,Data Analyst,2100
627,Financial Analyst,2000
628,Pārdevējs (-a) DUS Sigulda,560
629,Senior Accountant,2300
630,"Pārdevējs/-a Circle K Daugavpils 1 (Ventspils iela 28, Daugavpils)",240
631,"Middle .NET Developer, Tickets Selling System",3150
632,Pavārs/-e Centrālajā virtuvē,400
633,Nodaļu pārzinis/-e,360
634,Vecākais kasieris/-e,360
635,Maiņas vadītājs/-a (veikalā),1230
636,IT Project Manager,2700
637,Mārketinga projektu vadītājs/-a,2000
638,SAP ieviešanas projekta vadītājs/-a,4200
639,Ķīmiķis/-e-Analītiķis/-e,1500
640,Quality Assistant (temporary position),1350
641,Software Development Engineer,4850
642,Digitālā mārketinga speciālists/-e,1500
643,Architect Front-End Developer (React),4600
644,Experienced .Net Developer,2750
645,Senior .NET Developer,3850
646,Associate Service Manager,280
647,Mārketinga projektu vadītājs/-a,2450
648,Tāmētājs/-a,2100
649,Full-stack izstrādātājs/-a,3500
650,praktikants/-e  Risku konsultāciju komandā,815
651,Vecākais Konsultants/-e Vadības konsultāciju nodaļā,2300
652,Sales Specialist,2750
653,QA Engineer,2750
654,Pārdevējs (-a) Virši jaunajā veikalā Origo,400
655,Warehouse Specialist (Noliktavas Speciālists),1300
656,Vecākais loģistikas speciālists Noliktavu pārvaldības departamenta Centrālo noliktavu nodaļā,1425
657,Accounts Payable Analyst with Lithuanian,1800
658,"Noliktavas darbinieks/-ce Jelgavā, Loka maģistrālē 1b",240
659,"Ārzonas pārdevējs/-a  Jelgavā, Loka maģistrālē 1b, LV-3004",280
660,Vecākais loģistikas speciālists Noliktavu pārvaldības departamenta Centrālo noliktavu nodaļā,1425
661,Jaunākais personāla speciālists/-e,1300
662,Klientu apkalpošanas speciālists/-e,1400
663,Administratīvais direktors,2850
664,Klientu apkalpošanas Speciālists/e ( HoReCa ),1300
665,Pārdevējs (-a) DUS Krāslava,360
666,Uzkopšanas darbu vadītāju asistents/-e,1000
667,Intern in Facility Management Team,720
668,Sistēmu administrators,2800
669,Market Development Specialist,2250
670,Grāmatvedis/-e (Jelgavā),1250
671,Drošuma un kvalitātes uzraudzības specialists/-e,2050
672,Jaunākais(-ā) speciālists(-e) Uzņēmumu finansēšanas centrā,1150
673,Jaunākais Finanšu Kontrolieris/-e,1550
674,Līgumu reģistra uzraudzības speciālists,1500
675,Aptiekas vadītājs/-a,440
676,Pārdošanas un Klientu apkalpošanas speciālists,1500
677,Tāmētājs/-a,2200
678,Specialist Finance in Billing Cards Invoicing Team,1550
679,Specialist Finance in Accounts Receivable team,1550
680,Finanšu konsultants/-e,1950
681,Personāla atlases speciālists,1500
682,Customer support specialist with Russian and English language skills (via phone),1258
683,Financial Assistant (Accounts Receivable),1550
684,Linkbait Content Creator,2600
685,Business Analyst,2250
686,Key Account Manager,3094
687,"IT Reporting Engineer in Finance & Risk Tribe | SEB, Riga",3600
688,Integration Lead,4150
689,VADĪBAS ASISTENTS-/E,1400
690,Sales Representative for cold calls,400
691,Software Engineer (Maintenance Engineer)  - Non Life Insurance,3150
692,Tirdzniecības pārstāvis/-e (Telesales pārdošanai),1300
693,Administrators/-e,1000
694,Komplektētāju/Ražošanas koordinatoru,1450
695,Klientu menedžeris/-e,2400
696,Менеджер по продажам,1600
697,Izpilddirektors/-e,3500
698,Vadības Asistents/-e,1200
699,German Speaking SAP FI/CO Trainee,1750
700,Graudu iepirkumu speciālists/-e Latgales reģionā,2000
701,"Financial Analyst, Consolidation Specialist",2650
702,Medicīnas māsa / Ārsta palīgs/-dze,400
703,Veselības aprūpes vadītājs/-a,1800
704,IT Product Manager,4250
705,Partneru attiecību vadītājs,2150
706,Nodaļas vadītājs/-a H&M Riga,1280
707,Ražošanas plānotājs/-a,2500
708,Atbalsta operators/  e,1400
709,Jaunākais tehniskais lietvedis/-e,1400
710,"Finance Functional Consultant, Tietoevry Tech Services",3250
711,Product Manager (Mobile App),3500
712,Ekonomisko lietu tiesas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118
713,Projektu administrators/-e,1150
714,Projektu administrators/-e,1150
715,"Rīgas rajona tiesas (Aiviekstes ielā 6, Rīgā) tiesas sekretārs (uz nenoteiktu laiku)",1062
716,Biznesa SISTĒMU konsultants/-e,2400
717,Trader (Tirgotājs/-a),3400
718,Nodaļu pārzinis/-e,1041
719,Noliktavas vadītājs/-a Iecavā,1850
720,Junior Master Data Specialist,1350
721,Customer Support Specialist - Samsung team,240
722,Recruiter - internship (part time),425
723,Lietotāju atbalsta speciālists/-e darbā ar DIGITĀLAJIEM RISINĀJUMIEM,1700
724,Business Intelligence Analyst,2150
725,Personāla atlases speciālists/-e,1900
726,Personāla speciālists- lietvedis/-e,1900
727,Cilvēkresursu un uzņēmuma kultūras nodaļas biznesa partneris/-e,2100
728,Konditorejas ceha meistars-e / Tehnologs-ģe,1400
729,Pārdevēji/as konsultanti/es - t/c Akropole Alfa,200
730,"IT Service Desk Specialist, Tietoevry Tech Services",1550
731,Mid-Senior Salesforce Developer,3700
732,Team Leader,2500
733,Embedded  Engineer,2350
734,Recruiter (temporary agreement),1583
735,Autoelektriķis/-e,2300
736,"NILLTPFN pārvaldīšanas, darbības atbilstības augstākā līmeņa vadītājs/-a",6000
737,Administrators - vecākais referents,1090
738,Senior Accountant for Intercompany Team,2100
739,Performance Marketing Officer,4250
740,Tāmētājs,1800
741,Grāmatvedis/-e PwC Nodokļu pārvaldības un grāmatvedības komandā,1650
742,SAP Integration Architect,3900
743,Large Language Modelling/Gen AI engineer,3125
744,Recruiter,1600
745,Pārdošanas inženieris/ produktu speciālists,2550
746,Grāmatvedis/-e,2000
747,Atbildīgais radiologs Neatliekamās Radioloģijas nodaļā,840
748,Produktu grupas vadītājs/-a,2800
749,Engineering Leadership Development Program for Graduates,2600
750,Outperformer Global Development Program for Graduates,2600
751,Customer Support Representative,280
752,Noliktavas darbinieks (nepilna slodze),280
753,Analītikas nodaļas sankciju speciālista valsts civildienesta ierēdņa amats,2000
754,Gaisa kuģu apkalpošanas aģents/-e,1200
755,Ražošanas iekārtu inženieris,1850
756,Iekšējais auditors,1800
757,Kredītu analīzes nodaļas vadītājs/-a,3000
758,Releju aizsardzības un automātikas inženieris/-e,2000
759,Overheads and Finance Projects Business Partner,3500
760,Loģistikas darbu vadītājs /-a,1400
761,Jaunākais apdrošināšanas speciālists/-e (darbs no mājām),1525
762,Gastroenterologs,1821
763,KARDIOLOGS Klīniskās diagnostikas centrā,1939
764,Pieredzējis B2B pārdevējs/-a,2350
765,Senior Full Stack Developer (R&D team),3950
766,Pārdošanas speciālists/-e,2587
767,Reģionālais projektu vadītājs/-a Valmieras filiālē,850
768,Reģionālais projektu vadītājs/-a Liepājas filiālē,850
769,Apple produktu eksperts/-e,1900
770,Add-on (papildus produktu) nodaļas darbinieks/-ce,240
771,Customer support specialists,1700
772,Vecākais referents Loģistikas plānošanas departamenta Kvalitātes kontroles un procesu vadības nodaļā,1650
773,Automašīnu rezerves daļu pārdevējs (-a) BMW/ MINI/ BMW Motorrad autocentrā,1650
774,Controller Fuel Stock & Deal Control,1600
775,Datorsistēmu inženieris/-e,1200
776,Fuel Accountant,1600
777,Testētājs/-a,2000
778,English and French Speaking Customer Consultant,1500
779,Ražošanas vadītājs/-a,2750
780,Pieredzējis B2B pārdevējs/-a,2400
781,Muitas pārvaldes Rīgas muitas kontroles punktu daļas Muitas kontroles punktu muitas uzraugs,1226
782,Sanctions Compliance Officer,2700
783,Iepakojuma iepirkumu speciālists,1600
784,Pārdevēji-konsultanti Vācijā,480
785,Veikala vadītājs Vācijā,800
786,Spa administrators,160
787,Junior Penetration Testing Associate,2500
788,Ražošanas darbinieks/ maiņas vecākais,1572
789,PĀRDEVĒJS-/A,280
790,Santehniķis/-e,1300
791,Namu apsaimniekotājs/-a,1700
792,Junior Marketing Automation Specialist,1350
793,Marketing Automation Expert,2500
794,Vecākais Konsultants/-e Risku konsultāciju nodaļā,2100
795,Tīkla vadītājs/-a,2000
796,Maiņas vadītājs/-a,200
797,Tirdzniecības asistents (e),1350
798,Pārdošanas pārstāvis/-e (darbs līdz 2024. gada beigām),2080
799,Software Engineer,3000
800,Asistents,1300
801,Asistents/-e klientu apkalpošanas nodaļā,1000
802,Projektu vadītājs,1800
803,Asistents/-e transporta plānošanas nodaļā,1000
804,ServiceDesk (2. līmeņa) speciālists,1600
805,Scala Engineer,5105
806,Personāla speciālists (uz noteiktu laiku),1700
807,Projektu vadītāja palīgs/-dze,1600
808,"Governance, Risk and Control Analyst / Pārvaldības, risku un kontroles analītiķis/-e",3250
809,Psihologs Garīgās aprūpes un sociālā darba dienestā (pusslodzes darbs),850
810,Nomas pārdošanas speciālists/-e,2300
811,Loģistikas un resursu plānošanas speciālists/-e,1500
812,Klientu menedžeris/-e,3000
813,Pārdošanas vadītājs/-a,3200
814,Asistents/-e,1150
815,VMware/Veeam Engineer,4000
816,Product Marketing Specialist,2500
817,Klientu apkalpošanas asistentu/i,1150
818,Project Engineer SHIP ELECTRICAL PROJECTS,5400
819,Tehniķis/-e,1600
820,Purchasing coordinator,1700
821,Iepirkumu speciālists/-e,1700
822,Būvdarbu vadītājs/-a,3207
823,Vājstrāvas tīklu un sistēmu projektētājs/-a,2500
824,Elektroapgādes tīklu projektētājs/-a,2300
825,Rimi Mini Veikala vadītājs/-a,1550
826,Vecākais zinātniskās darbības eksperts,1176
827,Tiesu administrācija Grāmatvedis (uz nenoteiktu laiku),1354
828,Virsmāsas vietnieks 20. Neiroloģijas nodaļā,1945
829,Virsmāsa Neiroloģijas klīnikas 20. Neiroloģijas nodaļā,2045
830,Biznesa asistents- Projektu menedžeris / Бизнес-ассистент - менеджер проектов,2400
831,Kāršu uzskaites operators (Шафлер),240
832,Jurists/-e,2200
833,Datubāzes administrators/-e,2500
834,"Tehnisko sistēmu nodrošinājuma, drošības un transporta daļas vadītājs",2470
835,Vides projektu speciālists/-e,1650
836,Preču pieņēmējs/a,1173
837,Pasūtījumu komplektētājs/a TERMO noliktavā (+2 - +6 grādu temperatūrā),1504
838,Elektroiekrāvēja vadītājs/-a,1758
839,Ugunsdrošības un civilās aizsardzības speciālists/-e,1600
840,"Pasūtījumu komplektētājs/-a ,nakts darbs (Tabakas noliktavā )",1469
841,Arhitektūras projektu vadītājs,2700
842,Asfalta ieklājēja operators,2000
843,Vides aizsardzības speciālists/-e (pusslodze),850
844,Asfalta ieklājēja vadītājs,2100
845,Ilgtspējas vadītājs/-a,3125
846,Head of FICM area,7750
847,Senior Compliance Officer,3250
848,Business Analyst and Requirement Engineer,3500
849,Tirdzniecības Pārstavja/-es amatu (Zemgalē),1375
850,Atgriezto preču un taras pieņēmējs/-a,1173
851,Business Intelligence Analyst,3100
852,Affiliate & Traffic Manager,2750
853,Expierenced CRM and Retention Manager,3200
854,Multitasking Office manager,2100
855,Servisa meistars (-e) / pieņēmējs Jaguar / Land Rover autocentrā,2250
856,Pasūtījumu komplektētājs/-a,1256
857,Biroja administrators/-e,1500
858,Personāla speciālists,1405
859,Vājstrāvu sistēmu projektu vadītājs,2650
860,Tehniskās informācijas tehniķis/-e,1395
861,Vadošais/-ā informācijas tehnoloģiju administrators/-e,2300
862,Elektromontieris/-e,1800
863,Energosistēmu tehniķis/-e,1800
864,Procesu attīstības vadītājs/-a,2250
865,Asistents/-e Projektu vadības daļā,1500
866,Pārdošanas konsultants/-e Miele tehnikas salonos (Brīvības un Ūnijas ielās),1449
867,Business Data Analyst,2400
868,Klientu konsultantu asistents/-e t/c SPICE,975
869,Kategoriju vadītāja asistents/-te,1400
870,Darījumu uzraudzības speciālists/-e  NILLTPFN jomā,1850
871,Frontend Software Engineer,4000
872,Sustainability Risk Manager,4550
873,Senior Risk Framework Analyst,3550
874,ICT or Data Oversight Risk Officer,3300
875,Projektu vadītājs/-a (Durvju tirdzniecība un montāža),2500
876,Pārtikas kvalitātes speciālists/-e,1300
877,Pārdošanas projektu vadītājs/-a koka alumīnija konstrukcijām,2750
878,Pirmsskolas vadītājs/-a,2400
879,Pārdošanas un Īres speciālists,2250
880,Vecākais referents,1490
881,Personāla speciālists/-e,1950
882,Finanšu kontrolieris ražošanā,2750
883,Kvalitātes kontroles vadītāja asistents/e,1700
884,Sales Manager/Affiliate Manager - iGaming Industry,2900
885,Procesu un risku vadības speciālists,1800
886,Principal Python Engineer,7430
887,Bērnu un jauniešu psihiskās veselības centra aprūpes vadītājs,2500
888,SENIOR DOCUMENTATION SPECIALIST (F/M/D) | IGNITIS RENEWABLES,2258
889,Jaunākais/-ā ražošanas plānotājs/-a,2000
890,Lietotu automobiļu pārdevējs/-a,2750
891,Klientu menedžeris/-e,1750
892,Jaunākais klientu atbalsta speciālists/-e (iespējams darbs no mājām),240
893,Country Legal Counsel,3000
894,Bilancspējīga grāmatvede/-is,2000
895,Žurnālists/-e,1350
896,Elektroniskā medija vadītājs/-a,2350
897,Elektronikas tehniķis/-e,1350
898,Assistant to the Account Management Team,1550
899,Digitālā mārketinga speciālists/-e,2000
900,Senior ICT or Data Oversight Risk Officer,3700
901,Jurists/-e,1900
902,Vecākais AML speciālists/-e,1900
903,Optometrists/-e,400
904,Pasūtījumu apstrādes speciālists/-e,1400
905,Informācijas tehnoloģiju un sakaru nodrošinājuma diennakts dežurants,1330
906,Rasētājs,2050
907,Ražošanas darbinieks/-ce,1190
908,Technical Analysts in Portal Integrations,3750
909,Credit Controller,2250
910,Middle/Senior IT Recruiter (R100),2250
911,SMM Project Manager (Social Media Marketing) / Social Media Marketing Manager,2000
912,Regulācijas lietu daļas vadītājs/-a,3550
913,Galvenā grāmatveža vietnieks,2100
914,Wordpress Developer,5000
915,Finanšu kontroles nodaļas vadītājs/-a,2550
916,Eksporta klientu apkalpošanas speciālists/-e (ar angļu/ vācu valodas zināšanām),1600
917,"Bank Operations Specialist in Client Data Management Team | SEB, Riga",1575
918,Chief Product Owner to Customer Overview and Digital Enablers Tribe,0
919,Mārketinga speciālists/-e (uz noteiktu laiku),1600
920,"Business Developer in Internet bank | SEB, Riga",2500
921,Mārketinga speciālists/-e,1800
922,Apdrošināšanas konsultants/-e Valkā,1025
923,Supply Chain Specialist,1800
924,Medicīnas pārstāvis/-e,1950
925,Šuvējs/-a,1165
926,Vecākais juriskonsults/-e,1700
927,Bite One IT risinājumu projektu vadītājs/-a,3250
928,Jurista palīgs/-dze,1300
929,Creative Production Manager (E-Commerce Ads),2000
930,E-komercijas klientu attiecību vadītājs/-a,1800
931,Sales Assistant,1275
932,Finanšu plānošanas un uzskaites nodaļas galvenais speciālists (uz noteiktu laiku – 2 gadi),1080
933,Norwegian speaking Consultant,1700
934,"Delivery Finance Specialist, Tietoevry Tech Services",1400
935,Servisa mehāniķis Kurzemes reģionā,2000
936,IT Business Analyst for Digital Identity,3750
937,Head of Debt Collection - Baltic Markets,4250
938,Jurists,1483
939,Kvalitātes vadības sistēmas speciālists/-e,1900
940,Lietvedis/-e - Administratīvais asistents/-e,1400
941,Pārdošanas pārstāvis/-e Baltijā,2500
942,QA Automation Engineer,3250
943,Klientu apkalpošanas speciālists/-e,1200
944,Apdrošināšanas speciālists/-e / Brokera palīgs/-dze,1500
945,Pārdevējs/-a - konsultants/-e Mājas dekorēšanas un paklāju nodaļā,240
946,Pārdošanas projektu vadītājs/-a,2000
947,Group HR System Administrator / Grupas HR sistēmu administrators/-e,1650
948,Head of Marketing,4500
949,Junior Content Analyst,1700
950,Senior Quality Assurance AML Analyst,3150
951,Fizioterapeits,1329
952,Social media manager,1650
953,Kategoriju vadītājs/-ja,2000
954,Junior Аccount manager/Аnalyst,1400
955,Administratori/-u BMW/ MINI/ BMW Motorrad autocentrā,1390
956,Automehāniķis (-e),1820
957,Servisa meistars - pieņēmējs (-a),1850
958,Iepirkumu speciālists/-e dizaina un būvniecības sfērā,2350
959,Informācijas sistēminženieris/-e,280
960,Grāmatvedis,1400
961,Tirdzniecības konsultants,1050
962,Informācijas sistēmu administrators/-e,3150
963,Corporate Documentation Specialist,1606
964,Sistēmanalītiķis/-e,2239
965,Tehniskā nodrošinājuma meistars/-e,2000
966,Finanšu analītiķis/-e,3000
967,Servisa meistars (-e)/ pieņēmējs (-a) BMW/ MINI/ BMW Motorrad autocentrā,2550
968,Accountant in Accounting and Finance Operations department,1325
969,E-komercijas risku analītiķis/-e,2100
970,English Language Copywriter,1635
971,Analītiķa asistents,1350
972,Jaunākais/-ā Jurists/-e / Jurists/-e Finanšu Pakalpojumu Prakses Grupā,1950
973,MEHĀNIKAS INŽENIERI,2000
974,Pilnas un nepilnas slodzes administrators/-e,200
975,Elementary School Counselor (Preschool 2 – Grade 5),1958
976,Personāla speciālists,1900
977,Sales Representative,2100
978,Grāmatvedis,1550
979,Pārdošanas speciālista asistents,1200
980,Veikala vadītājs/-a,1900
981,Administrācijas pārvaldes galvenais referents,1320
982,Grāmatvedis/-e,1500
983,Līgumražošanas koordinators/-e,2250
984,Pārdošanas projektu vadītājs,2150
985,PĀRDOŠANAS SPECIĀLISTS/-E,1400
986,Iekārtu projektēšanas inženieris-konstruktors,2450
987,Cybersecurity and IT Management Advisory Sales Partner,2750
988,KFC Maiņas Vadītājs - TC Domina Shopping,1230
989,Office Administrative Assistant,1900
990,Senior Treasury Specialist,3650
991,Starptautiskās tirdzniecības menedžeris,2550
992,Vecākais/-ā konsultants/-e  Stratēģijas un korporatīvo finanšu komandā,2500
993,Mežizstrādes speciālists/-e Vidzemes/ Latgales reģionā,3500
994,Lead of Business Development (FinTech),4800
995,Sailpoint Infrastructure Engineer for Identity & Access Management,4550
996,SMM manager,2000
997,"Māsa 31. Hemodialīzes nodaļā (0,3 slodze uz noteiktu laiku)",320
998,Agronoms,2500
999,Klientu apkalpošanas menedžeris,2050
1000,ĶĪMIĶIS ANALĪTIKAS LABORATORIJĀ,1400
1001,Grāmatvedis/e,2400
1002,Senior Building Envelope Structural Engineer,3800
1003,JURISTS/-E Jauno klientu apstiprināšanas nodaļā,1700
1004,Computational designer,3100
1005,Principal Technical Lead - Facades Engineering,3800
1006,Accountant in Fixed Assets Team (1 year contract),1700
1007,Senior Accountant in Report-to-Record Team (1 year contract),1800
1008,Recruiter,1969
1009,Full-Stack Developer,4500
1010,Maiņas vadītājs/-a,200
1011,Grāmatvedis/-e,1960
1012,Risk Automation Manager,3250
1013,Biroja sekretāre/-s,1320
1014,Vecākais noliktavas pārzinis,1400
1015,Brand Strategist,4300
1016,MASERATI automašīnu tirdzniecības pārstāvis/-e,3000
1017,PROCESU TEHNOLOGS,1320
1018,Junior QA Specialist,1412
1019,Finnish Speaking E-mail and Chat Customer Service Agent,2000
1020,Laborants/-e,1100
1021,Parfimēra māceklis/-e,1100
1022,Sales Executive,2250
1023,Finnish-speaking KYC Support Agent,2000
1024,Project Manager,3300
1025,Fraud Monitoring Specialist (Temporary Contract),2250
1026,UX Researcher,2500
1027,Procurement Assistant,1300
1028,Iepirkuma asistents,1300
1029,Assistant Controller,3700
1030,.NET Developer,3550
1031,Apkures iekārtu operators/-e,200
1032,IT speciālists/-e,2200
1033,CTO Vietnieks/-ce,6750
1034,Labdarības organizācijas vadītājs/-a,2100
1035,BSOC specialist internship (2 vacancies),350
1036,Lietotāju atbalsta speciālists/-e,1550
1037,Klientu apkalpošanas speciālists/-e,280
1038,HR Manager,3000
1039,CE kategorijas autovadītājs/-a Rīgā,1815
1040,Dzīvības apdrošināšanas darījumu vadītājs Vidzemes reģionā,1550
1041,Pārdošanas speciālists Zvanu centrā,1680
1042,Asistents/-e (Daily banking),1100
1043,Embedded engineer,5000
1044,Būvdarbu vadītājs (ŪKT jomā),2300
1045,QA Automation Engineer,3750
1046,Mobile QA Automation Engineer,3250
1047,Korporatīvo klientu pārdošanas speciālists,1700
1048,Iepirkumu projektu vadītājs būvniecības jomā,2000
1049,Nekustamā īpašuma pārvaldnieks/-ce,2200
1050,Digitālās reklāmas speciālists/-e,1500
1051,Digital marketing specialist/ cпециалист по цифровому маркетингу,1700
1052,Data Steward,2000
1053,Business Area Manager - Finance & Controlling,2600
1054,Atlīdzību administrators/-e,1150
1055,Koklaukuma vadītājs,1800
1056,Būvdarbu vadītājs,2400
1057,Mārketinga un komunikācijas speciālists/-e,2500
1058,Personāla speciālists/-e,1300
1059,Pasākumu projektu vadītājs/-a,2000
1060,Treasury Officer,1260
1061,Vadošais ražošanas inženieris/-e,1800
1062,Reklāmas datu analītiķis Amazon,1300
1063,Fraud and Investigations Analyst/ Krāpniecisku darījumu izmeklēšanas un novēršanas analītiķis /-e,2000
1064,Personāla vadītājs/-a,2000
1065,Marketing Assistant,1700
1066,Junior User Support Engineer,1700
1067,Incidentu un drošības risku analītiķis/-e,2200
1068,Jaunākais kvalitātes kontrolieris,1275
1069,AVK/ŪKT izbūves darbu projektu vadītājs/-a,3450
1070,Saimniecības daļas vadītāja palīgs/-dze,1450
1071,Global Media Planner,3000
1072,Namu pārzinis Namu apsaimniekošanas daļā,1587
1073,Quality Responsible JDE RSO,2200
1074,Vecākais/-ā uzraudzības eksperts/-e,3000
1075,Senior iOS Developer/Vecākais iOS Izstrādātājs/-a,5750
1076,Maiņas vadītājs/-a,200
1077,Senior Android Developer/Vecākais Android Izstrādātājs/-a,5500
1078,"Scandinavian Speaking Delivery Lead (temporary), Tietoevry Tech Services",2350
1079,Senior Business Continuity & Recovery Officer,3500
1080,Preču aprites (servisa) pakalpojumu nodaļas darbinieks/-ce,240
1081,Pārdevējs/-a aiz sveramās vitrīnas,160
1082,Elektroinženieris/-e,1950
1083,Veikala nodaļas vadītājs/-a,200
1084,3D inženieris / Konstruktors,2700
1085,Investoru attiecību vadītājs/-a,2350
1086,Drošības dienesta darbinieks Tīraines ielā 3b,1045
1087,Būvdarbu vadītājs/-a – (uz noteiktu laiku),5150
1088,Būvprojektu vadītājs/-a – (uz noteiktu laiku),5750
1089,Tehniskais tulks – (uz noteiktu laiku),3300
1090,STENDERS pārdevējs - konsultants Riga Plaza un Akropole Rīga,1200
1091,Projektu vadītājs/-a (2 vakances),1700
1092,Reanimatologs/Anesteziologs,600
1093,PPC Specialist,2100
1094,Senior Web Developer,3300
1095,SEO Team Lead,4250
1096,Krāvējs/-a noliktavā Vācijā,2400
1097,Tehniskais darbinieks,1550
1098,Big Data engineer,3562
1099,Noliktavas pārzinis/-e,1350
1100,3D Motion Designer,3000
1101,Klientu konsultants/-e SIZEER Domina,1050
1102,Ārpakalpojumu projektu vadītājs/-a (uz noteiktu laiku),2400
1103,Klientu apkalpošanas speciālists/-e Studiju informācijas centrā,1000
1104,Technical QA Lead,4500
1105,Business IT Analyst,3700
1106,Jaunākais debitoru grāmatvedis,1300
1107,Jaunākais Kreditoru grāmatvedis,1300
1108,Legal Manager,5000
1109,Middle SEO Specialist,4000
1110,Uzņēmuma risku pārvaldības vadītājs/-a,2750
1111,Jaunākais/-ā stjuarts/-e,1325
1112,Klientu apkalpošanas un pārdošanas speciālists/-e zvanu centrā (ar somu valodas zināšanām),1700
1113,DWH Izstrādātājs/-a,3900
1114,Ražošanas Ēku un Konstrukciju Projektu Speciālists/-e,2400
1115,Apollo.lv ziņu redaktors,1200
1116,Vecākais full-stack programmētājs/-a,3250
1117,(Senior) Transaction Monitoring Analyst/ (Vecākais/-ā) darījumu uzraudzības analītiķis/-e,2875
1118,Junior Accountant/ Jaunākais grāmatvedis,1750
1119,Tirdzniecības aģents/-e Liepājas reģionā,1190
1120,Project Engineer (Electromechanical projects),560
1121,Mīksto mēbeļu ražošanas vadītājs,2200
1122,Informācijas tehnoloģiju attīstības projektu vadītājs/-a,3500
1123,Pieredzējis B2B MENEDŽERIS/-E,1600
1124,Būvdarbu vadītāja / projektu vadītāja asistents(-e),1750
1125,Senior VIP Manager,3500
1126,Digital Marketing Specialist,3100
1127,Sales Development Specialist,1250
1128,Būvdarbu vadītāja palīgs/-dze,1900
1129,Būvdarbu vadītājs/-a,2475
1130,Category Manager,3850
1131,B2B Pārdošanas vadītājs/-a,1700
1132,Klientu apkalpošanas aģents/-e,240
1133,Izpilddirektora vietnieks/-ce,3094
1134,Noliktavas darbinieks,1400
1135,Pasākumu organizators,1800
1136,Restorāna vadītājs,1200
1137,"Finance Accounting Specialist in SEB Baltic Product Development | SEB, Riga",2850
1138,"Mid to Lead Business Developer in Customer Data Team | SEB, Riga",3000
1139,Datu apstrādes speciālists/-e,1400
1140,Test Lead (On-site),3750
1141,Maiņas vadītājs/-a,240
1142,"IT Service Management Lead | SEB, Riga",3400
1143,"Data Steward for Savings & Investments Tribe | SEB, Riga",3350
1144,"Data Steward for Regulatory Reporting | SEB, Riga",3350
1145,"Apkures, ventilācijas un gaisa kondicionēšanas iekārtu tehniķis/ Heating, Ventilation Technician",1923
1146,Tirdzniecības kanālu attīstības vadītājs/-a (enerģijas jomā),2300
1147,Tirdzniecības veicinātājs (Merčendaizers),1127
1148,Galvenais speciālists metodiķis,1248
1149,Klientu attiecību speciālists,2000
1150,HR Specialist (temporary position for up to 2 years),1800
1151,Administration Specialist in Purchasing Department,1550
1152,Ārsts,600
1153,Iepirkumu nodaļas vadītājs,3500
1154,Head of ESG Reporting,4950
1155,Avio un jūras pārvadājumu speciālists/-e,2000
1156,Ceļu būvdarbu vadītājs/- a,2300
1157,Apsardzes inspektors/e,200
1158,Junior Quality Assurance Specialist,1700
1159,Aviācijas drošības inspektors/-e,240
1160,Veikala vadītājs/-a,240
1161,Lauksaimniecības darbu vadītājs/ agronoms,2000
1162,Būvdarbu vadītājs/-a,2500
