"Kods","Nosaukums","Apraksts","Vecāks"
"1324 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (transporta jomā)","","1324"
"1324 02","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (transporta jomā)","","1324"
"1324 03","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (sakaru jomā)","","1324"
"1324 04","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (sakaru jomā)","","1324"
"1324 05","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (noliktavu pakalpojumu jomā)","","1324"
"1324 06","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (noliktavu pakalpojumu jomā)","","1324"
"1324 07","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (transporta jomā)","","1324"
"1324 08","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (transporta jomā)","","1324"
"1324 09","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (sakaru jomā)","","1324"
"1324 10","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (sakaru jomā)","","1324"
"1324 11","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (noliktavu pakalpojumu jomā)","","1324"
"1324 12","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (noliktavu pakalpojumu jomā)","","1324"
"1324 13","Dzelzceļa stacijas PRIEKŠNIEKS","","1324"
"1324 14","Dzelzceļa stacijas PRIEKŠNIEKA VIETNIEKS","","1324"
"1324 15","Pasta nodaļas PRIEKŠNIEKS","","1324"
"1324 16","Pasta nodaļas PRIEKŠNIEKA VIETNIEKS","","1324"
"1324 19","Vilciena PRIEKŠNIEKS","","1324"
"1324 22","Lokomotīvju/ vagonu depo PRIEKŠNIEKS","","1324"
"1324 23","Lokomotīvju/ vagonu depo PRIEKŠNIEKA VIETNIEKS","","1324"
"1324 24","Filiāles DIREKTORS","","1324"
"1324 25","Filiāles DIREKTORA VIETNIEKS","","1324"
"1324 28","Iecirkņa PRIEKŠNIEKS (transporta un sakaru pakalpojumu jomā)","","1324"
"1324 29","Iecirkņa PRIEKŠNIEKA VIETNIEKS (transporta un sakaru pakalpojumu jomā)","","1324"
"1324 30","Ceha PRIEKŠNIEKS","","1324"
"1324 31","Ceha PRIEKŠNIEKA VIETNIEKS","","1324"
"1324 32","Ostas KAPTEINIS","","1324"
"1324 33","Pamatdarbības struktūrvienības VADĪTĀJS/ PRIEKŠNIEKS (dzelzceļa transporta pakalpojumu jomā)","","1324"
"1324 34","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS (dzelzceļa transporta pakalpojumu jomā)","","1324"
"1324 35","Sagādes struktūrvienības VADĪTĀJS/ DIREKTORS","","1324"
"1324 36","Sagādes struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS","","1324"
"1324 37","Sadales struktūrvienības VADĪTĀJS/ DIREKTORS","","1324"
"1324 38","Sadales struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS","","1324"
"1324 39","Loģistikas struktūrvienības VADĪTĀJS","","1324"
"1324 40","Loģistikas struktūrvienības VADĪTĀJA VIETNIEKS","","1324"
"1324 43","Ostas KAPTEIŅA VIETNIEKS","","1324"
"1324 44","Darbu VADĪTĀJS (dzelzceļa transporta pakalpojumu jomā)","","1324"
"1324 45","Lidojumu plānošanas SPECIĀLISTS","","1324"
"133","Informācijas un komunikācijas tehnoloģiju jomas vadītāji","PROFESIJU MAZĀ GRUPA""133 Informācijas un komunikācijas tehnoloģiju jomas vadītāji""un PROFESIJU ATSEVIŠĶĀ GRUPA""1330 Informācijas un komunikācijas tehnoloģiju jomas vadītāji""Mazās grupas ""133 Informācijas un komunikācijas tehnoloģiju jomas vadītāji"" un atsevišķās grupas ""1330 Informācijas un komunikācijas tehnoloģiju jomas vadītāji"" profesijās nodarbinātie informācijas un komunikācijas tehnoloģiju jomā vada jebkuras īpašuma formas un saimnieciskās darbības veida uzņēmumu; pamatdarbības struktūrvienību vadītāji plāno, vada un koordinē savu darbību uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1330 Informācijas un komunikācijas tehnoloģiju jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– izzināt no informācijas un komunikācijas tehnoloģiju (IKT) lietotājiem un augstākiem vadītājiem nepieciešamās vajadzības; plānot, vadīt un koordinēt struktūrvienības darbību IKT jomā, organizēt ikdienas darbu izpildi, sniegt pārskatus par vadītā uzņēmuma darbību uzņēmuma īpašniekiem, ja tādi ir, izvēlēties un apmācīt darbiniekus, organizēt un vadīt padotā personāla darbu IKT uzņēmumā vai struktūrvienībā; sastādīt budžetu; slēgt darījumus ar piegādātājiem un citiem uzņēmumiem; vadīt un organizēt IKT ierīkošanu un to lietotāju apmācību; vadīt IKT darbību, analizējot darba plūsmu, nosakot prioritātes, izstrādājot standartus un nosakot termiņus; pārraudzīt IKT drošības sistēmas; novērtēt uzņēmuma tehnoloģiju izmantošanu un ieteikt uzlabojumus; noteikt nepieciešamos resursus un kontrolēt to izlietojumu; izstrādāt informācijas drošības pārvaldības sistēmas arhitektūru; izstrādāt informācijas drošības pārvaldības īstermiņa un ilgtermiņa plānus un nodrošināt to īstenošanas un ieviešanas uzraudzību; veikt valsts informācijas sistēmu drošības pārvaldības funkcijas, īstenojot valsts informācijas sistēmu drošības pārvaldību saskaņā ar ārējiem normatīvajiem aktiem, kuri regulē valsts informācijas sistēmu jomu; vadīt un konsultēt darbiniekus, kuri iesaistīti drošības pārvaldībā; nodrošināt drošības pārvaldības sistēmas atbilstību IKT nozares normatīvajos aktos noteiktajām prasībām, kā arī nozares starptautiskajiem normatīvajiem aktiem.","13"
"1330","Informācijas un komunikācijas tehnoloģiju jomas vadītāji","Šīs atsevišķās grupas apraksts un profesionālās darbības pamatuzdevumi atbilst 133 mazajai grupai.","133"
"1330 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (informācijas un komunikācijas tehnoloģiju jomā)","","1330"
"1330 02","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (informācijas un komunikācijas tehnoloģiju jomā)","","1330"
"1330 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (informācijas un komunikācijas tehnoloģiju jomā)","","1330"
"1330 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (informācijas un komunikācijas tehnoloģiju jomā)","","1330"
"1330 05","Informācijas tehnoloģiju struktūrvienības VADĪTĀJS/ DIREKTORS","","1330"
"1330 06","Informācijas tehnoloģiju struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS","","1330"
"1330 07","Elektronisko sakaru struktūrvienības VADĪTĀJS/ DIREKTORS","","1330"
"1330 08","Elektronisko sakaru struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS","","1330"
"1330 09","Informācijas drošības VADĪTĀJS","","1330"
"1330 10","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (informācijas jomā)","","1330"
"1330 11","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (informācijas jomā)","","1330"
"134","Specializēto pakalpojumu jomas vadītāji"," PROFESIJU MAZĀ GRUPA""134 Specializēto pakalpojumu jomas vadītāji""Mazās grupas ""134 Specializēto pakalpojumu jomas vadītāji"" profesijās nodarbinātie specializēto sociālo pakalpojumu jomā vada jebkuras īpašuma formas un saimnieciskās darbības veida uzņēmumu; pamatdarbības struktūrvienību vadītāji plāno, vada un koordinē ražošanas procesus, pakalpojumu sniegšanu un citus savas darbības uzdevumus tiešā uzņēmuma vadītāja vadībā.Mazās grupas ""134 Specializēto pakalpojumu jomas vadītāji"" profesijas klasificētas šadās atsevišķajās grupās:atsevišķā grupa ""1341 Bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"";atsevišķā grupa ""1342 Veselības aprūpes pakalpojumu jomas vadītāji"";atsevišķā grupa ""1343 Pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"";atsevišķā grupa ""1344 Sociālās labklājības jomas vadītāji"";atsevišķā grupa ""1345 Izglītības jomas vadītāji"";atsevišķā grupa ""1346 Finanšu un apdrošināšanas pakalpojumu jomas vadītāji"";atsevišķā grupa ""1349 Citur neklasificētu specializēto pakalpojumu jomas vadītāji"".  ","13"
"1341","Bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji","PROFESIJU ATSEVIŠĶĀ GRUPA""1341 Bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji""Atsevišķās grupas ""1341 Bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"" profesijās nodarbinātie bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomā plāno, vada, koordinē un novērtē, kā tiek nodrošināti bērnu aprūpes pakalpojumi (pirmsskolas bērnu iestādēs, brīvā laika pavadīšanas iestādēs, dienas aprūpes centros u. c. sociālās aprūpes institūcijās), vada nelielu personisko vai cita īpašnieka uzņēmumu, plāno, organizē un koordinē darījumu norisi, sniedz dažādu nekomerciālu palīdzību; pamatdarbības struktūrvienību vadītāji sniedz bērnu aprūpes pakalpojumus tiešā uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1341 Bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– plānot, vadīt bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu uzņēmuma darbības stratēģiju (programmu) bērnu fiziskai, psiholoģiskai, sociālai, emocionālai un intelektuālai attīstībai, nodrošināt tās izpildi, pārraudzīt un koordinēt ikdienas darbus, veikt citus administratīvus pienākumus, izvēlēties un apmācīt darbiniekus, organizēt un vadīt padotā personāla darbu bērnu sociālās aprūpes un sociālās rehabilitācijas pakalpojumu uzņēmumā; uzņemties atbildību par budžeta izstrādi un saistību izpildi; slēgt darījumus ar piegādātājiem, klientiem un citiem uzņēmumiem; plānot un kontrolēt resursu izlietojumu, darbinieku piesaistīšanu un profesionālo izaugsmi; pārraudzīt un koordinēt tiesību aktu ievērošanu sociālās drošības un bērnu tiesību aizsardzības jomā bērnu aprūpes iestādēs; organizēt bērniem, personālam un apmeklētājiem piemērotu vidi; sadarbībā ar iestādes speciālistiem pārraudzīt bērnu attīstību dinamikā, apspriežot to ar bērna vecākiem vai aizbildņiem; plānot, vadīt un koordinēt pasākumus naudas uzkrājumu un nodokļu maksāšanas kontrolē, saimnieciskās darbības regulēšanā u. tml.; sniegt pārskatus, tai skaitā statistikas pārskatus, un ziņojumus par iestādes darbību.  ","134"
"1341 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (bērnu sociālās aprūpes un sociālās rehabilitācijas jomā)","","1341"
"1341 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (bērnu sociālās aprūpes un sociālās rehabilitācijas jomā)","","1341"
"1341 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (bērnu sociālās aprūpes un sociālās rehabilitācijas jomā)","","1341"
"1341 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (bērnu sociālās aprūpes un sociālās rehabilitācijas jomā)","","1341"
"1342","Veselības aprūpes pakalpojumu jomas vadītāji"," PROFESIJU ATSEVIŠĶĀ GRUPA""1342 Veselības aprūpes pakalpojumu jomas vadītāji""Atsevišķās grupas ""1342 Veselības aprūpes pakalpojumu jomas vadītāji"" profesijās nodarbinātie plāno, vada un koordinē veselības aprūpes pakalpojumu sniegšanu ārstniecības iestādēs un citās iestādēs veselības aprūpes jomā.Atsevišķās grupas ""1342 Veselības aprūpes pakalpojumu jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– nodrošināt ārstniecības iestādes un veselības aprūpes jomas iestādes, struktūrvienības vai pakalpojuma attīstību un vadību; īstenot iestādes stratēģiju ārstniecībā, veikt ārstniecības procesu plānošanu un uzraudzību, izstrādāt un pilnveidot ar ārstniecības procesiem saistīto iestādes iekšējo normatīvo dokumentāciju, nodrošināt un kontrolēt medicīniskās dokumentācijas apriti atbilstoši normatīvajiem aktiem; vadīt, plānot, pārraudzīt un novērtēt medicīniskā, aprūpes, tehniskā u. c. personāla darbu; kontrolēt administratīvās darbības, budžeta plānošanu, preču un pakalpojumu iepirkšanu; konsultēt valsts un pašvaldību iestāžu pārstāvjus par pasākumiem veselības un sociālo pakalpojumu kvalitātes uzlabošanai.","134"
"1342 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (veselības aprūpes jomā)","","1342"
"1342 02","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (veselības aprūpes jomā)","","1342"
"1342 03","Veselības aprūpes vadības ĀRSTS","","1342"
"1342 04","Veselības aprūpes VADĪTĀJS","","1342"
"1342 05","Galvenā MĀSA","","1342"
"1342 06","Galvenā VECMĀTE","","1342"
"1342 07","Galvenais ĀRSTS","","1342"
"1343","Pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"," PROFESIJU ATSEVIŠĶĀ GRUPA""1343 Pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji""Atsevišķās grupas ""1343 Pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"" profesijās nodarbinātie pilngadīgo sociālās aprūpes un sociālās rehabilitācijas jomā plāno, vada, koordinē un novērtē institucionālos un alternatīvos sociālās aprūpes un sociālās rehabilitācijas pakalpojumus pilngadīgām personām un ģimenēm, kurām tie nepieciešami, vada nelielu personisko vai cita īpašnieka uzņēmumu, plāno, organizē un koordinē darījumu norisi, sniedz dažādu nekomerciālu palīdzību; pamatdarbības struktūrvienību vadītāji sniedz pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumus tiešā uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1343 Pilngadīgo sociālās aprūpes un sociālās rehabilitācijas pakalpojumu jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– plānot, vadīt pilngadīgo sociālās aprūpes un sociālās rehabilitācijas uzņēmuma darbības stratēģiju (programmu) visaptverošu pakalpojumu nodrošināšanā pilngadīgām personām, pārraudzīt un koordinēt ikdienas darbus, veikt citus administratīvus pienākumus, izvēlēties un apmācīt darbiniekus, vadīt, uzraudzīt un novērtēt iestādes personāla darbu; nodrošināt programmu izstrādi, ieviešanu un uzraudzību; plānot iestādes budžetu; slēgt darījumus ar piegādātājiem, klientiem un citiem uzņēmumiem; plānot un kontrolēt resursu izlietojumu; organizēt tiesību aktos noteikto prasību ievērošanu, izstrādāt, ieviest un novērtēt iestādes darbam vajadzīgos standartus un procedūras; izstrādāt struktūrvienību mērķus un darbības novērtēšanas kritērijus; plānot, vadīt un koordinēt pasākumus dažādu pakalpojumu sniegšanai; plānot, vadīt un koordinēt pasākumus naudas uzkrājumu un nodokļu maksāšanas kontrolē, saimnieciskās darbības regulēšanā u. tml.; informēt sabiedrību par sociālās aprūpes un sociālās rehabilitācijas pakalpojumu pilngadīgām personām; izteikt priekšlikumus institūcijām par pasākumiem, kas uzlabotu sociālos pakalpojumus; pārstāvēt iestādi publiskos pasākumos; sniegt pārskatus, tai skaitā statistikas pārskatus, un ziņojumus par iestādes darbību.","134"
"1343 01","VADĪTĀJS/ DIREKTORS (pilngadīgo sociālās aprūpes un sociālās rehabilitācijas jomā)","","1343"
"1343 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (pilngadīgo sociālās aprūpes un sociālās rehabilitācijas jomā)","","1343"
"1343 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (pilngadīgo sociālās aprūpes un sociālās rehabilitācijas jomā)","","1343"
"1343 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (pilngadīgo sociālās aprūpes un sociālās rehabilitācijas jomā)","","1343"
"1344","Sociālās labklājības jomas vadītāji","PROFESIJU ATSEVIŠĶĀ GRUPA""1344 Sociālās labklājības jomas vadītāji""Atsevišķās grupas ""1344 Sociālās labklājības jomas vadītāji"" profesijās nodarbinātie sociālās labklājības jomā plāno, vada, koordinē un nodrošina sociālos pakalpojumus un sociālo palīdzību pašvaldībā, vada nelielu personisko vai cita īpašnieka uzņēmumu, plāno, organizē un koordinē darījumu norisi, sniedz dažādu nekomerciālu palīdzību; pamatdarbības struktūrvienību vadītāji sniedz sociālos pakalpojumus tiešā uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1344 Sociālās labklājības jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– organizēt sociālās vides izpēti pašvaldībā vai sociālajā grupā un sociālo problēmu noteikšanu; piedalīties pašvaldības attīstības plānu izstrādē sadarbībā ar publisko un privāto sektoru; plānot un vadīt darbības stratēģiju, nodrošināt tās izpildi, izvēlēties un apmācīt darbiniekus; organizēt un vadīt padotā personāla darbu sociālās labklājības jomas uzņēmumā; nodrošināt efektīvu resursu vadību, tai skaitā plānot un nodrošināt resursu piesaisti; slēgt darījumus ar piegādātājiem, klientiem un citiem uzņēmumiem; sociālo problēmu risināšanā un sociālo pakalpojumu nodrošināšanā veidot sadarbību ar publisko un privāto sektoru; uzraudzīt un novērtēt resursu izlietojumu sociālajai palīdzībai un sociālajiem pakalpojumiem, tai skaitā mājokļa pakalpojumiem, atbilstoši tiesību aktos noteiktajam; ievērot normatīvajos aktos noteiktās prasības sociālo pakalpojumu un sociālās palīdzības sniegšanā, kā arī izstrādāt, ieviest un novērtēt iestādes iekšējās darbības procedūras un standartus; izstrādāt struktūrvienību mērķus un darbības novērtēšanas kritērijus; plānot, vadīt un koordinēt pasākumus dažādu pakalpojumu sniegšanā sadarbībā ar citiem pakalpojumu sniedzējiem, finanšu institūcijām un citām iesaistītajām institūcijām; sniegt priekšlikumus valsts institūcijām, kas uzlabotu sociālos pakalpojumus; pārstāvēt iestādi publiskos forumos; plānot, organizēt un kontrolēt bāriņtiesas locekļu darbu, pārstāvēt bāriņtiesu valsts un pašvaldību institūcijās, piedalīties lietu izskatīšanā bāriņtiesas sēdēs; sniegt pārskatus, tai skaitā statistikas pārskatus, un ziņojumus par iestādes darbību, kā arī par sociālajām problēmām pašvaldībā vai sociālajā grupā; nodrošināt iestādes administratīvo darbu.","134"
"1344 01","VADĪTĀJS/ DIREKTORS (sociālās labklājības jomā)","","1344"
"1344 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (sociālās labklājības jomā)","","1344"
"1344 03","Sociālā dienesta VADĪTĀJS","","1344"
"1344 04","Sociālā dienesta VADĪTĀJA VIETNIEKS","","1344"
"1344 05","Bāriņtiesas PRIEKŠSĒDĒTĀJS","","1344"
"1344 06","Bāriņtiesas PRIEKŠSĒDĒTĀJA VIETNIEKS","","1344"
"1344 07","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (sociālās labklājības jomā)","","1344"
"1344 08","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (sociālās labklājības jomā)","","1344"
"1345","Izglītības jomas vadītāji","PROFESIJU ATSEVIŠĶĀ GRUPA""1345 Izglītības jomas vadītāji""Atsevišķās grupas ""1345 Izglītības jomas vadītāji"" profesijās nodarbinātie izglītības jomā vada uzņēmumu, plāno, izrīko un koordinē darījumu norisi, sniedz dažādu nekomerciālu palīdzību; pamatdarbības struktūrvienību vadītāji sniedz izglītības pakalpojumus tiešā uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1345 Izglītības jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– plānot, vadīt izglītības jomas uzņēmuma darbības stratēģiju, nodrošināt tās izpildi, īstenot noteiktās izglītības programmas; sastādīt budžetu; plānot, vadīt un koordinēt darbību izglītības jomā; slēgt darījumus ar piegādātājiem, klientiem un citiem uzņēmumiem; plānot un kontrolēt resursu izlietojumu, darbinieku piesaistīšanu; pārraudzīt un koordinēt izglītības iestādes ikdienas darbus, plānot, vadīt un koordinēt darbību valsts vai privātās izglītības jomā, sniegt pārskatus uzņēmējam, ja tāds ir, veikt administratīvus pienākumus, izvēlēties un apmācīt darbiniekus, organizēt un vadīt padotā personāla darbu izglītības jomas uzņēmumā; plānot, vadīt un koordinēt struktūrvienības darbību izglītības jomā; plānot, vadīt un koordinēt pasākumus dažādu pakalpojumu sniegšanā.","134"
"1345 01","REKTORS","","1345"
"1345 02","PROREKTORS","","1345"
"1345 03","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (izglītības jomā)","","1345"
"1345 04","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (izglītības jomā)","","1345"
"1345 05","DEKĀNS","","1345"
"1345 06","ProDEKĀNS","","1345"
"1345 08","Skolas DIREKTORS/ PRIEKŠNIEKS","","1345"
"1345 09","Skolas DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS","","1345"
"1345 10","Koledžas DIREKTORS","","1345"
"1345 11","Koledžas DIREKTORA VIETNIEKS","","1345"
"1345 14","Koledžas katedras VADĪTĀJS","","1345"
"1345 15","Mācību centra VADĪTĀJS/ PRIEKŠNIEKS","","1345"
"1345 16","Mācību centra VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS","","1345"
"1345 17","Mācību centra daļas PRIEKŠNIEKS","","1345"
"1345 18","Izglītības programmas/ nodaļas DIREKTORS/ VADĪTĀJS","","1345"
"1345 19","Profesionālās augstākās izglītības kursa VADĪTĀJS","","1345"
"1345 20","Mācību kursu VADĪTĀJS","","1345"
"1345 21","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS/ KOMANDIERIS (izglītības jomā)","","1345"
"1345 22","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ KOMANDIERA VIETNIEKS (izglītības jomā)","","1345"
"1345 23","Katedras VADĪTĀJS","","1345"
"1346","Finanšu un apdrošināšanas pakalpojumu jomas vadītāji"," PROFESIJU ATSEVIŠĶĀ GRUPA""1346 Finanšu un apdrošināšanas pakalpojumu jomas vadītāji""Atsevišķās grupas ""1346 Finanšu un apdrošināšanas pakalpojumu jomas vadītāji"" profesijās nodarbinātie finanšu un apdrošināšanas pakalpojumu jomā vada personisko vai citu īpašnieku finanšu un apdrošināšanas pakalpojumu uzņēmumu, plāno, izrīko un koordinē uzņēmuma darbību, sniedz dažādu nekomerciālu palīdzību; pamatdarbības struktūrvienību vadītāji plāno, vada un koordinē uzņēmuma pamatdarbību finanšu un apdrošināšanas pakalpojumu sniegšanā tiešā uzņēmuma vadītāja vadībā.Atsevišķās grupas ""1346 Finanšu un apdrošināšanas pakalpojumu jomas vadītāji"" profesijas un atbilstoši pamatuzdevumi:– plānot, vadīt finanšu un apdrošināšanas pakalpojumu jomas uzņēmuma darbības stratēģiju, nodrošināt tās izpildi, sniegt pārskatus uzņēmējam, ja tāds ir, plānot, organizēt un vadīt ikdienas darījumus, veikt administratīvus pienākumus, izvēlēties un apmācīt darbiniekus, organizēt un vadīt padotā personāla darbu finanšu un apdrošināšanas pakalpojumu uzņēmumā; sastādīt budžetu; slēgt darījumus ar piegādātājiem, klientiem un citiem uzņēmumiem; plānot un kontrolēt resursu izlietojumu, darbinieku piesaistīšanu finanšu un apdrošināšanas pakalpojumu uzņēmumā; vadīt un koordinēt finanšu un apdrošināšanas pakalpojumu sniegšanu.","134"
"1346 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (finanšu un apdrošināšanas jomā)","","1346"
"1346 02","VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (finanšu un apdrošināšanas jomā)","","1346"
"1346 03","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (finanšu un apdrošināšanas jomā)","","1346"
"1346 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (finanšu un apdrošināšanas jomā)","","1346"
"1346 05","Reģiona VADĪTĀJS (banku pakalpojumu jomā)","","1346"
